pcode,name,category,LawModifiedDate,LawEffectiveDate,discarded
R0030052,特種考試法務部調查局調查人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030053,關務人員升官等考試規則,"考試,考選部,公務人員考試目",20220516,,
R0030054,公務人員特種考試國家安全局國家安全情報人員考試規則,"考試,考選部,公務人員考試目",20220316,,
R0030055,特種考試國家安全局國家安全情報人員考試應考人體格檢查標準,"廢止法規,考選部",19960921,,true
R0030056,特種考試國家安全局國家安全情報人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030057,外語口試規則,"考試,考選部,一般性考試目",20190909,,
R0030058,學歷經歷證明審查規則,"考試,考選部,一般性考試目",20160502,,
R0030059,特種考試政風人員考試錄取人員訓練辦法,"廢止法規,公務人員保障暨培訓委員會",20091014,,true
R0030060,後備軍人轉任公職考試比敘條例,"考試,考選部,公務人員考試目",20020130,,
R0030061,後備軍人轉任公職考試比敘條例施行細則,"考試,考選部,公務人員考試目",20191104,,
R0030062,特種考試臺北市政府所屬捷運人員考試規則,"廢止法規,考選部",20031226,,true
R0030063,國家考試試題疑義處理辦法,"考試,考選部,一般性考試目",20221003,,
R0030064,特種考試地方政府公務人員考試規則,"考試,考選部,公務人員考試目",20230525,20240601,
R0030065,八十六年特種考試關務、稅務、金融人員考試規則,"廢止法規,考選部",20100317,,true
R0030068,公務人員獎學考試規則,"廢止法規,考選部",20031111,,true
R0030069,服務軍用船舶船員應考獎勵辦法,"廢止法規,考選部",20031225,,true
R0030070,公務人員特種考試殘障人員考試錄取人員訓練辦法,"廢止法規,公務人員保障暨培訓委員會",20091014,,true
R0030071,特種考試交通事業人員考試錄取人員訓練辦法,"廢止法規,公務人員保障暨培訓委員會",20091014,,true
R0030072,公務人員特種考試身心障礙人員考試規則,"考試,考選部,公務人員考試目",20220905,20240101,
R0030073,特種考試臺北市政府基層公務人員考試規則,"廢止法規,考選部",20030227,,true
R0030074,特種考試退除役軍人轉任公務人員考試規則,"考試,考選部,公務人員考試目",20230713,20240101,
R0030075,公務人員特種考試社會福利工作人員考試規則,"考試,考選部,公務人員考試目",20170324,,
R0030076,公務人員特種考試一般警察人員考試規則,"考試,考選部,公務人員考試目",20231207,20240101,
R0030077,特種考試臺灣省山地行政及經濟建設人員考試規則,"廢止法規,考選部",19970414,,true
R0030078,公務人員特種考試原住民族考試規則,"考試,考選部,公務人員考試目",20231228,,
R0030079,特種考試原住民行政暨技術人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030080,特種考試中央銀行行員考試規則,"廢止法規,考選部",19970414,,true
R0030081,特種考試監察院監察調查人員考試規則,"廢止法規,考選部",20021011,,true
R0030082,公務人員特種考試取才困難高科技或稀少性技術人員考試辦法,"考試,考選部,公務人員考試目",20120430,,
R0030083,特種考試高科技或稀少性技術人員考試規則,"廢止法規,考選部",20030723,,true
R0030084,公務人員特種考試司法人員考試規則,"考試,考選部,公務人員考試目",20230118,,
R0030085,特種考試司法人員考試錄取人員訓練辦法,"廢止法規,公務人員保障暨培訓委員會",19980113,,true
R0030086,公務人員特種考試行政院勞工委員會職業訓練局職業訓練中心現職人員任用資格考試辦法,"廢止法規,考選部",19970414,,true
R0030087,公務人員特種考試國立臺灣藝術教育館現職人員任用資格考試辦法,"廢止法規,考選部",19970414,,true
R0030088,特種考試臺灣福建省基層公務人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030089,八十五年特種考試公務人員丁等考試錄取人員訓練辦法,"廢止法規,考選部",20100317,,true
R0030090,八十一年特種考試公務人員丁等考試規則,"廢止法規,考選部",20100317,,true
R0030091,八十一年特種考試公務人員丁等考試錄取人員實習辦法,"廢止法規,考選部",20100317,,true
R0030092,八十一年特種考試公平交易管理人員考試規則,"廢止法規,考選部",20100317,,true
R0030093,公務人員特種考試經濟部專利商標審查人員考試規則,"廢止法規,考選部",20180427,,true
R0030094,公務人員特種考試民航人員考試規則,"考試,考選部,公務人員考試目",20220316,,
